id, failed_login_attempts ,data_transfer_mb,connection_duration_sec,distinct_ip_accessed,request_frequency_per_min
175,0,55.09 MB,1495.3,1,14.64
176,0,45.66,954.9,3,9.29
177,14,776.51,188.0,38,153.39
178,1,68.15,1213.9,6,9.53
179,2,11.94,1397.6,1,12.97
180,19,629.09,180.9,53,220.97
181,17,800.06,208.1,47,203.69
182,0,43.36,1258.2,3,6.3
183,0,387.88,4647.8,6,11.05
184,2,37.23,1371.8,6,8.89
185,1,421.44,3997.8,5,27.28
186,0,33.88,1083.7,2,7.77
187,16,612.47,119.5,46,224.48
188,3,62.2,1262.3,1,7.67
189,1,24.82,1332.0,1,9.75
190,3,47.18,1520.0,2,10.98
191,0,449.97,4028.6,5,18.93
192,12,788.94,221.7,48,217.82
193,0,353.31,3475.6,8,19.6
194,1,44.89,1739.3,1,10.03
195,1,21.83,969.7,4,8.75
196,0,34.86,1452.2,1,7.87
197,1,34.73,1803.1,7,5.95
198,2,47.51,1280.1,4,1.5
199,2,43.53,1044.7,5,7.77
200,12,631.58,185.1,45,205.0
201,0,384.04,,9,21.8
202,1,27.04,1056.4,5,10.21
203,1,56.37,770.8,2,5.26
204,1,27.16,1532.6,2,7.02
205,1,27.25,1092.2,3,8.21
206,0,60.18,990.0,4,999999.0
207,0,35.97,824.5,7,9.54
208,2,26.87,1208.5,4,9.32
209,0,483.38,6168.8,5,15.94
210,25,750.07,196.3,45,198.34
211,0,18.89,1066.1,2,
212,0,61.62,1314.7,2,5.76
213,17,428.28,140.7,48,201.69
214,0,51.15,,4,11.74
215,0,59.07,1428.1,5,15.95
216,24,951.26,207.8,46,185.95
217,10,756.64,182.0,44,225.78
218,1,50.44,1273.0,2,6.75
219,8,961.93,126.0 s,45,162.46
220,1,,1370.9,2,7.73
221,19,936.67,88.2 s,37,206.88
222,0,53.86,1028.6,4,13.8
223,0,69.47,1027.3,3,5.04
224,0,28.14,1522.1,2,11.34
225,1,35.11,1738.8,3,10.58
226,20,787.78,109.1,53,224.74
227,0,1.0,1188.0,6,11.22
228,3,412.08,5076.9,5,16.39
229,0,43.17,1595.2,3,12.07
230,0,43.05,1383.2,1,7.16
231,3,40.71,1270.3,1,12.43
232,1,26.39,1259.0,1,10.42
233,2,274.34,4327.5,7,26.35
234,0,22.25,1258.8,3,7.54
235,16,902.28,154.9,52,150.53
236,27,728.09,112.1,41,229.74
237,13,707.85,243.2,32,220.85
238,0,49.49,1053.2,1,11.61
239,4,52.44,1190.1,2,8.81
240,0,26.17,1082.0 s,4,4.49
241,14,903.51,165.8,45,221.45
242,1,13.32 MB,1393.6,2,10.01
243,0,323.54,5201.2,4,17.54
244,0,62.54 MB,1508.7,4,9.43
245,14,585.54,123.1 s,38,174.92
246,1,40.72,1043.1,2,16.31
247,0,32.69,1107.2,5,7.55
248,1,29.5,1968.0,3,7.44
249,19,649.79,214.5,42,153.41
250,1,32.84,1352.2 s,3,14.24
251,3,452.31,3679.4,1,19.94
252,2,44.62,1356.9,3,6.81
253,2,422.03,5909.0,4,19.9
254,2,68.23 MB,1239.9,3,10.14
255,1,14.35,1027.9,2,6.41
256,1,417.36,4982.6,6,8.78
257,2,40.28,1146.9,2,12.01
258,12,736.48,168.4,42,191.68
259,2,65.15,960.5,3,12.03
260,1,391.77,4524.0,5,13.78
261,4,38.55,1259.3,2,2.32
262,0,36.95,1936.6,3,6.6
263,24,815.02,73.7,45,216.98
264,1,14.96,1044.8,2,5.79
265,0,24.88,1300.3,,10.77
266,0,31.85,1412.7,1,10.45
267,3,232.66 MB,5436.2,4,20.93
268,0,48.15,1622.8,1,5.75
269,2,179.82,6794.7,4,10.62
270,1,48.66,1286.8,3,5.42
271,0,21.33,1423.9,2,11.75
272,0,25.16,1032.3,3,7.85
273,0,58.69,1238.4,5,14.14
274,8,799.5,217.3,44,206.64
275,0,19.78,1192.7,4,12.59
276,15,816.76,151.6,42,176.02
277,8,437.13,126.5,39,223.41
278,15,645.27,124.8,39,237.54
279,0,8.77,1514.9,1,8.28
280,1,30.94,1040.7,7,2.08
281,17,770.36,140.3,47,182.02
282,2,39.19,992.4,2,6.19
283,1,117.44,5010.9,5,17.68
284,0,17.45,1170.2,3,14.69
285,0,43.82 MB,1556.7,3,10.05
286,2,266.92,4794.1,3,7.02
287,1,45.99,993.2,4,6.93
288,0,428.02,4563.7,5,10.92
289,9,743.14,127.0,46,166.87
290,1,56.55,1259.4,7,7.75
291,9,400.4,129.0,36,165.36
292,1,34.55,1103.9,5,9.24
293,15,708.64,210.7,56,257.28
294,16,633.05,145.4,43,164.83
295,0,27.09 MB,1665.2 s,7,13.23
296,1,60.33,1583.5,2,11.86
297,9,582.44,115.6,47,226.6
298,2,318.81,3797.3,9,20.15
299,0,410.6,3776.7,7,20.85
300,0,492.54,4833.2,3,20.14
301,0,251.01,3795.1,3,18.72
302,2,39.64,1337.0,1,11.02
303,14,829.92,119.1,49,184.64
304,0,52.46,1377.2 s,3,11.02
305,1,44.35,1260.9,5,10.36
306,1,47.07,892.0,8,11.11
307,0,32.13,909.9,3,7.58
308,0,40.21,1302.8,6,7.61
309,0,31.35,1135.8,2,7.72
310,1,2.93,1249.9,1,4.77
311,13,645.23,142.2,32,161.62
312,0,36.54,1186.3,6,7.91
313,2,426.12,5306.0,6,18.7
314,14,891.1,120.1,44,224.3
315,0,37.66,1033.4,,2.77
316,0,65.45,1039.4,5,5.0
317,1,387.6,5117.5,7,19.22
318,2,15.08,924.4,3,14.81
319,9,679.07,202.2,53,219.06
320,14,877.05,152.9,46,186.61
321,1,33.51,1341.4 s,1,
322,2,254.26,4235.9,8,22.75
323,2,32.04,1011.9,1,8.05
324,3,227.2,3534.4,10,22.8
325,0,53.22,701.7 s,2,13.38
326,3,66.32,1390.6,2,13.16
327,0,27.54,931.6 s,,13.18
328,1,36.18,997.1,5,13.58
329,0,49.82,1107.7,5,8.41
330,15,769.8,208.2,51,251.38
331,1,74.06,1513.2,3,10.15
332,0,64.43,1276.8,3,10.32
333,0,22.03 MB,1410.1,5,10.07
334,1,25.21,907.2,3,9.54
335,1,55.56 MB,1614.6,2,6.11
336,1,9.43,1285.8,1,3.52
337,12,824.42,59.4,37,193.5
338,9,765.86,100.6,44,209.94
339,2,35.91,879.0,1,9.38
340,1,51.27,1519.6 s,2,9.37
341,0,36.26,728.9,3,14.11
342,2,,1173.1,1,10.3
343,1,291.18,5397.5,6,20.58
344,11,1054.29,,46,184.93
345,1,53.04,1208.6,2,10.99
346,1,36.69,989.0,3,13.01
347,0,264.33,5771.9,3,14.96
348,0,219.5,4618.5,6,17.19
349,0,14.61,1033.4,4,11.65
350,1,20.79,1468.6,6,10.33
351,0,54.04,724.8,5,5.38
352,3,293.39,4853.0,6,10.34
353,0,55.88,1038.1,3,7.7
354,2,50.83,1435.7,2,11.65
355,1,261.71,2778.1,10,10.5
356,0,28.55,1066.3,2,8.81
357,0,67.73,1127.6,4,11.41
358,1,294.43,5438.2,5,23.01
359,1,41.1,1412.5,4,12.49
360,0,32.35,1394.6,4,14.73
361,0,30.06,1889.7,2,13.71
362,0,41.71 MB,1004.6,2,13.65
363,1,20.57,1030.8,1,13.53
364,2,18.67,1524.2,4,10.05
365,0,5.47,1031.3,2,12.35
366,1,38.39,1348.0,2,5.38
367,0,57.39,587.5,3,6.02
368,13,774.7,,46,166.45
369,1,63.9,1558.5 s,5,8.73
370,1,428.27,3810.6,5,23.05
371,1,54.33,794.5,2,8.11
372,0,456.29,5449.4,4,21.46
373,0,78.6,1175.4,4,9.94
374,1,21.67,1198.9,2,12.34
375,3,31.83,1822.6,5,7.81
376,0,33.11,1375.2,2,8.01
377,0,375.05,5649.1,5,20.91
378,0,53.07,1664.3,3,9.29
379,0,30.3,1450.2 s,6,12.87
380,0,33.69,1389.9 s,3,7.83
381,0,57.52,1008.8,4,9.77
382,1,444.68,3554.5,9,15.02
383,0,35.96,1322.5,3,5.08
384,20,776.22,203.7,43,222.62
385,2,199.35,3743.6,1,18.86
386,0,65.31,1179.0,1,7.42
387,11,831.41,159.6,48,235.15
388,0,14.45,1699.6,2,10.09
389,1,45.08,1958.1,4,7.91
390,1,38.32,1544.8,4,10.02
391,12,893.77 MB,174.6,40,185.22
392,0,367.78 MB,4673.3,3,18.3
393,1,268.31,,5,22.98
394,3,34.96,815.9,4,10.7
395,0,18.87,1005.9,2,12.22
396,1,342.27,4685.2,7,15.22
397,1,257.65,5032.3,4,24.97
398,14,1011.7,165.5,44,205.88
399,1,31.4,1392.8,3,5.97
400,0,62.94,1764.3,3,8.26
401,1,52.35,893.6,3,7.12
402,1,39.15,1327.2,,13.4
403,1,406.99,2509.8,11,9.94
404,1,28.33,633.1,3,10.1
405,0,459.64,3260.8,4,15.1
406,2,265.99,4656.9,5,28.92
407,15,774.74,116.8,47,166.7
408,12,766.88,81.4,,196.74
409,1,49.24,995.4,4,6.92
410,2,32.33,743.0,4,5.15
411,1,43.72,1754.0,3,8.05
412,0,51.36,1731.2,6,6.13
413,0,65.04,1461.7,3,6.39
414,0,385.44,4651.6,5,26.27
415,1,76.69,1171.4,5,16.56
416,22,501.04,76.5,45,200.06
417,1,47.34,1185.7,1,12.87
418,0,26.44,1115.5,2,11.1
419,1,44.67,1125.7,4,10.2
420,13,964.52,156.3,54,192.85
421,2,60.53,1144.8,1,13.55
422,1,289.81,5584.4,5,10.97
423,1,217.47 MB,4456.9,5,16.6
424,0,60.5,1491.8,3,11.68
425,1,320.01,5346.5,4,20.68
426,1,30.24,1069.7,3,11.57
427,2,56.41,1180.3,4,10.12
428,0,,942.5,7,10.24
429,2,34.38,1463.2,3,8.78
430,1,386.47,4536.8,3,8.46
431,17,699.64,99.3,42,225.96
432,2,51.33,754.3,3,9.63
433,17,813.74,205.5,58,
434,1,416.42,4789.3,3,14.14
435,2,48.65,981.9 s,2,6.53
436,15,839.98,99.6,51,170.57
437,1,50.66,1133.7,3,8.92
438,0,41.6,1632.0,1,11.76
439,1,19.3,1494.8,3,9.6
440,13,900.83,198.4,37,190.96
441,0,36.42,1634.1,1,8.69
442,22,721.97,182.2,54,151.26
443,3,21.23,1392.3,2,12.13
444,0,41.07 MB,1446.1,2,11.18
445,20,691.59,114.0,57,222.29
446,0,282.25 MB,4498.1,5,23.58
447,1,45.92,1034.3,5,13.16
448,16,598.83,96.1,43,200.64
449,0,408.85,4210.8,7,20.69
450,12,751.36,225.7,47,183.61
451,2,62.56,1740.3,2,8.22
452,2,86.18,1177.7,6,7.78
453,23,1082.88,205.3,48,188.83
454,0,64.67,1386.5,1,10.71
455,1,317.23,5634.8,8,16.27
456,3,33.34 MB,1562.0,3,11.92
457,0,391.25,4943.2,3,19.09
458,0,23.12,1673.2,3,8.15
459,1,316.57,5231.0,4,18.25
460,0,39.17,1265.7,3,10.67
461,0,45.0,1550.8,1,8.89
462,0,15.9,1314.1,3,11.01
463,2,17.27,1389.7,3,12.53
464,30,537.36,118.5,44,171.12
465,1,37.83,1334.3,1,5.3
466,1,23.34,1064.3,2,10.64
467,0,50.05,982.3,1,10.25
468,20,679.98,135.9,48,193.44
469,1,300.59,4770.4,7,16.32
470,0,42.73,1404.6,5,9.38
471,4,32.16,1619.8,3,8.56
472,0,309.89,4607.4,10,14.32
473,0,41.94,1283.7,4,4.32
474,18,800.75,135.4,38,144.48
475,0,42.25,1054.8,2,12.46
476,2,293.03,3913.5,8,17.02
477,12,,196.7,35,216.0
478,1,23.06,1327.6,1,17.9
479,15,764.94,87.3,57,180.48
480,0,36.71,980.7,6,7.19
481,1,45.06,1626.2,6,11.61
482,1,6.83,1738.4,1,9.46
483,17,555.42,95.1,44,214.55
484,1,48.56,1091.1,5,9.04
485,14,730.19,185.6,50,148.78
486,0,39.25,1068.1,2,9.15
487,1,532.53,5521.6,6,16.69
488,16,584.55,157.5,30,180.8
489,0,20.65,1273.1,2,14.18
490,0,364.81,4770.8,8,22.44
491,1,28.05,1347.7,2,10.36
492,1,502.91,4959.3,6,19.82
493,1,20.43,1355.3,1,9.46
494,2,44.2 MB,1274.8,1,12.52
495,0,48.08 MB,1515.9,4,8.01
496,0,49.58,796.7,5,12.91
497,0,48.9 MB,899.5,1,8.9
498,17,639.45,192.5,42,167.35
499,0,316.72,5017.2,8,17.35
500,1,15.59,1673.9,4,8.89
501,15,774.74 MB,116.8,47,166.7
502,1,317.23,5634.8,8,16.27
503,0,55.74,1477.4,2,12.87
504,1,217.47,4456.9,5,16.6
505,14,557.34 MB,176.9 s,41,166.48
506,0,386.1,4499.7,5,24.15
507,,50.29,1304.3,5,11.35
508,23,1082.88,205.3,48,188.83
509,0,407.02,,8,12.1
510,0,25.53,1205.5,1,11.75
